"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	7.06828626595988	0.0339943150739356	7.00040243732114	7.13411307979102	1.00198371917257	1941.89230305463	3519.0793710046
"HasRC.C"	0.343887058022226	0.0340479975542724	0.27699767313251	0.41166256515181	1.00035259330962	7052.95971447103	9696.00958545079
"compatible.C"	0.0895074595831802	0.0297814289618158	0.0307839880191942	0.148540486279967	1.00024929453288	8171.66064895871	10761.4457071084
"EmbeddingBias.C"	-0.0135293901695677	0.00862105576544052	-0.0306894411988007	0.00304070266740297	1.00051180130983	9004.32755436757	10655.5813319268
"HasSC.C"	0.0224028456367778	0.032228461476891	-0.0419042738632043	0.085770934094263	1.00033034314532	8631.22100799322	9310.41434024809
"HasRC.C:compatible.C"	0.0855824248325657	0.050325410595744	-0.0137059329747444	0.183534420195558	1.00001187897999	10921.0449759576	10545.2260191563
"HasRC.C:EmbeddingBias.C"	-0.0236190296110311	0.0234351820644059	-0.0694108954251731	0.023128660712902	1.00025997485159	7999.37877065935	9806.20966303131
"EmbeddingBias.C:HasSC.C"	-0.0694693734345414	0.0235222729685454	-0.117018856027964	-0.0236083966545046	1.00017970054094	8889.2687179515	10640.829596953
"compatible.C:EmbeddingBias.C"	-0.0218825717791581	0.0206364776651835	-0.0622448795555887	0.0189804853236352	1.00004741477593	8998.56153286403	10199.552755195
